Badge Title,Badge ID,Issue Date,Issuer
Microsoft Global Hackathon 2025,e8d40c3e...,2025-07-31,The Microsoft Garage
GPS AI Discovery Cards Workshop,fd26d185...,2025-01-15,Microsoft Global Partner Solutions (GPS)
Microsoft Global Hackathon 2024,b44c44eb...,2024-08-02,The Microsoft Garage
STEM Ambassador 50 hours of engagement 2023/2024,60a346bc...,2024-07-31,STEM Learning
Microsoft Change Agent Nonprofit Champion Badge,059c3f22...,2024-06-27,Microsoft Philanthropies: Employee Engagement and Disaster Response
GPS Partner Conversation Proficiency for AI,4e7328cd...,2024-06-06,Microsoft Customer Service and Support
Copilot for M365 Achiever Badge - Foundational,5b9dbed5...,2024-01-02,Microsoft AI Business Solutions Enablement
STEM Ambassador 15 hours of engagement 2023/2024,1fcf8c4f...,2023-12-31,STEM Learning
Learn contributor 2023Q3,98455eb9...,2023-10-24,Microsoft MVP and Student Ambassadors Communities
STEM Ambassador 30 hours of engagement 2022/2023,f1cfa1e3...,2023-07-31,STEM Learning
Microsoft Certified Trainer 2023-2024,3a39e5ba...,2023-06-24,Microsoft
STEM Ambassador 15 hours of engagement 2022/2023,d464e0ea...,2023-03-31,STEM Learning
Microsoft Certified: Dynamics 365 Fundamentals (CRM),f4da9aed...,2023-02-24,Microsoft
STEM Ambassador 15 hours of engagement 2021/2022,ebdcdb3d...,2022-10-20,STEM Learning
Microsoft Certified Trainer 2022-2023,b661cc22...,2022-06-24,Microsoft
Social Responsibility Champ Silver,86ceb906...,2022-04-30,Microsoft Customer Service and Support
Onboarding Buddy Gold,7fbe3fa9...,2022-04-09,Microsoft Customer Service and Support
"Microsoft Certified: Security, Compliance, and Identity Fundamentals",ad79b393...,2021-12-16,Microsoft
"OpenHack: Security, Compliance, and Identity",d450c399...,2021-10-07,Microsoft OpenHack
Microsoft Certified: Azure Data Fundamentals,5c44167a...,2021-07-09,Microsoft
Microsoft Certified Trainer 2021-2022,ac52c7bb...,2021-06-24,Microsoft
Microsoft 365 SMB Sales Specialist,c2d31025...,2021-03-10,Microsoft 365 Partner Marketing
Microsoft Certified: Azure AI Fundamentals,9dc66311...,2021-02-15,Microsoft
MTA: Introduction to Programming Using Python - Certified 2021,9af51fb7...,2021-02-02,Microsoft
OpenHack: Migrating Microsoft Workloads to Azure,74c498b2...,2020-10-22,Microsoft OpenHack
Microsoft Certified Trainer 2020-2021,d0e86adb...,2020-06-24,Microsoft
Microsoft Certified: Dynamics 365 Fundamentals,22aeff94...,2020-06-02,Microsoft
Microsoft Certified: Power Platform Fundamentals,6076da31...,2020-03-20,Microsoft
Prosci® Certified Change Practitioner,4ec638d9...,2019-11-14,Prosci
Accessibility in Action,7722422b...,2019-10-21,Microsoft Accessibility
Microsoft 365 Certified: Fundamentals,25454d44...,2019-02-06,Microsoft
Mentor Silver,8fd1d616...,2019-01-09,Microsoft Customer Service and Support
Microsoft Certified: Azure Fundamentals,0dd25d7e...,2019-01-03,Microsoft
Event Speaker Silver,e0d59d28...,2018-05-02,Microsoft Customer Service and Support
Microsoft Global Challenger,2474eee5...,2017-11-16,Microsoft Global Challenger
Exam 533: Implementing Microsoft Azure Infrastructure Solutions,c8c93008...,2017-05-24,Microsoft
MCSE: Cloud Platform and Infrastructure — Certified 2017,2c31842c...,2017-05-24,Microsoft
MCSE: Cloud Platform and Infrastructure — Certified 2016,fa71a2f5...,2016-09-26,Microsoft
Exam 346: Managing Office 365 Identities and Requirements,cc1f528a...,2014-12-06,Microsoft
Exam 347: Enabling Office 365 Services,ab463a51...,2014-12-06,Microsoft
MCSA: Office 365 - Certified 2016,b57c4d60...,2014-12-06,Microsoft
Exam 417: Upgrading Your Skills to MCSA Windows Server 2012,5f2fc175...,2014-01-29,Microsoft
MCSA: Windows Server 2012 - Certified 2016,f161956c...,2014-01-29,Microsoft
Exam 246: Monitoring and Operating a Private Cloud with System Center 2012,63c0232e...,2013-01-26,Microsoft
